shipping,editors_choice,category,hotness,uuid,time_published,title,picture_url,description,time_modified,url,price
free shipping,,TOYS & HOBBIES,2,2170277,2018-01-02T13:31:16-05:00,OXA Self Balancing Hover Board,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mt8heq1ix8d8fnp5uxyr","OXA Home via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170277"">OXA Self Balancing Hover Board</a> in Red for $299.99. Coupon code ""HB526SXC"" cuts it to <strong>$239.99</strong>. With <strong>free shipping</strong>, that's $60 off and the lowest price we could find. It features 10.5 mile range, smart LED headlights, Bluetooth 4.2 speakers, and a 350-watt motor. Deal ends January 28.",,https://www.dealnews.com/OXA-Self-Balancing-Hover-Board-for-240-free-shipping/2170277.html,$240
free shipping,,CLOTHING & ACCESSORIES,5,2170331,,Jos. A. Banks Blowout Deals,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cd3ycmiba6tjkmcmokil","Jos. A. Bank discounts <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092772,2170331"">men's apparel and coats</a>, with prices starting from <b>$15</b> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092739,2170331"">Blowout Deals</a>. (Prices are as marked.) Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092742,2170331"">join</a>.) Discounted items include suits, polos, sportcoats, and outerwear. Deal ends January 3. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092745,2170331"">Jos. A. Bank Men's 1905 Collection Tailored Fit Sportcoat</a> for <b>$59</b> ($339 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170331"">Jos. A. Bank Men's Tropical Blend Slim Fit 2-Button Suit with Flat Front Pants</a> for <b>$79</b> (pictured, $419 off)
 </li>
</ul>",2018-01-03T03:35:40-05:00,https://www.dealnews.com/Jos.-A.-Banks-Blowout-Deals-from-15-free-shipping/2170331.html,from $15
free shipping,,SHOES,5,2170313,,Men's Dress Shoes at Jos. A. Bank,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxjbve0qiopen29551xi","Jos. A. Bank offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092754,2170313"">men's dress shoes</a> for <b>$39</b>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092697,2170313"">join</a>.) Sizes may be limited. Deal ends January 3. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170313"">Jos. A. Bank Men's Traveler Collection Clifford Loafers</a> for <b>$39</b> (pictured, $106 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092700,2170313"">Jos. A. Bank Men's Eaton Moc Toe Dress Shoes</a> for <b>$39</b> ($136 off)
 </li>
</ul>",2018-01-03T03:20:15-05:00,https://www.dealnews.com/Mens-Dress-Shoes-at-Jos.-A.-Bank-for-39-free-shipping/2170313.html,$39
free shipping,,SHIRTS,4,2170310,,Men's Dress Shirts at Jos. A. Bank,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dm95b3oeu9epniex2lij","Jos. A. Bank discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092721,2170310"">clearance dress shirts</a> to <b>$15</b>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092676,2170310"">join</a>.) Deal ends January 3. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170310"">Traveler Collection Men's Slim Fit Spread Collar Multi-Stripe Dress Shirt</a> for <strong>$15</strong> (pictured, $75 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092679,2170310"">Signature Men's Slim Fit Spread Collar Mini Check Dress Shirt</a> for <strong>$15</strong> ($85 off)
 </li>
</ul>",2018-01-03T03:52:23-05:00,https://www.dealnews.com/Mens-Dress-Shirts-at-Jos.-A.-Bank-for-15-free-shipping/2170310.html,$15
,,BEST HDTV DEALS,,2170319,2018-01-02T13:00:57-05:00,Best TV Deals: Score a 4K Sharp TV at Its Cyber Monday Price!,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yp3qrvpsitjtnteodexw","Whether you want a small set for the kitchen or a big screen for the living room, this week's roundup of the best <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/best-tv-deals/"">TV deals</a> offers several great choices. Score deals on a 55"" 4K set, a 50"" Sharp, and more!",,https://www.dealnews.com/features/best-tv-deals/,
free shipping w/ Prime,True,TOYS & HOBBIES,3,2170295,,Gund Pusheen Happy Birthday Plush,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oqcgch5p8p8tllddhu2v","Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170295"">Gund Pusheen Happy Birthday Plush</a> for <b>$12.50</b> with <b>free shipping</b>. That's the lowest price we could find by $2, although most merchants charge $25 or more. It stands 10.5"" high.",2018-01-02T15:05:05-05:00,https://www.dealnews.com/Gund-Pusheen-Happy-Birthday-Plush-for-13-free-shipping-w-Prime/2170295.html,$13
free s&h from China,,POWER MANAGEMENT,5,2170307,,WiFi Smart Plug Mini Outlet 2-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ituv3ycrjalsjf2xhbvh","TomTop offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170307"">WiFi Smart Plug Mini Outlet 2-Pack</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $20 off, $6 under our mention from Black Friday of a similar set, and the lowest price we could find. It can be used with Amazon Alexa.<br>
<br>
This item ships from China and may take up to three weeks to arrive.",2018-01-03T03:35:21-05:00,https://www.dealnews.com/Wi-Fi-Smart-Plug-Mini-Outlet-2-Pack-for-20-free-s-h-from-China/2170307.html,$20
,,CREDIT CARDS,,2170181,2018-01-02T10:37:44-05:00,JetBlue Plus Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uku4yulyuaxaufupterc","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170181"">JetBlue Plus Card</a> and receive <strong>30,000 bonus points</strong> after you <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092208,2170181"">spend $1,000 in purchases</a> within the first 90 days of account opening. Other card features include earning <strong>6x points</strong> on JetBlue purchases, <strong>2x points</strong> at restaurants and grocery stores, and <strong>1x points</strong> on all other purchases. Plus, your first checked bag is <strong>free</strong>. Finally, there's no blackout dates on JetBlue-operated flights, you can redeem for any seat any time on JetBlue-operated flights, and points awarded into your TrueBlue account don't expire. A $99 annual fee applies. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092211,2170181"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s39843/Barclay-Card/"">Barclaycard Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,"https://www.dealnews.com/lw/click.html?20,2,2170181","Earn 30,000 bonus points"
free shipping w/ Prime,,MEDICINE & MEDICAL,3,2170262,2018-01-02T12:37:50-05:00,MeasuPro Wrist Blood Pressure Monitor w/ Case,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/braho9jptcurdnaxbs45","BetterBasics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170262"">MeasuPro Wrist Blood Pressure Monitor with Case</a> for $21.99. Coupon code ""MEASURE9"" cuts that price to <strong>$17.59</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's the lowest price we could find by $5, although we saw it for a buck less in September. It features one-step measuring, an LCD display, and stores up to 120 readings. Deal ends January 20.",,https://www.dealnews.com/Measu-Pro-Wrist-Blood-Pressure-Monitor-w-Case-for-18-free-shipping-w-Prime/2170262.html,$18
,,RESTAURANTS,5,2170298,,Subway Footlong Sandwiches,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dcopkoowg3ttinlsafgd","Subway offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170298"">footlong sub sandwiches</a> for <strong>$4.99</strong>. That's $1 under last January's footlong offer, although that was good on all sandwiches. You can choose black forest ham, meatball marinara, spicy Italian, cold cut combo, or veggie delite.",2018-01-03T03:34:38-05:00,https://www.dealnews.com/Subway-Footlong-Sandwiches-5/2170298.html,$5
free shipping,True,TOYS & HOBBIES,3,2170301,,Yuneec Breeze 4K WiFi Quadcopter Drone,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/frjaz0gwg2i3jkbqppac","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170301"">Yuneec Breeze 4K WiFi Quadcopter Drone</a> for <strong>$199</strong> with <b>free shipping</b>. That's $101 below our July mention and the best deal we've seen for it new. (It's the best deal now by $30.) It features a 13-megapixel camera, 4K video recording, and a rechargeable LiPo battery with up to 12 minutes of flight time per charge.",2018-01-02T15:02:59-05:00,https://www.dealnews.com/Yuneec-Breeze-4-K-Wi-Fi-Quadcopter-Drone-for-199-free-shipping/2170301.html,$199
free shipping w/ Prime,,TOOLS & HARDWARE,3,2170283,2018-01-02T12:26:52-05:00,Meterk GFCI Electric Socket Tester,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dffbyhstmiw1ejtynm5q","ECmallUS via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170283"">Meterk GFCI Electric Socket Tester</a> for $9.97. Coupon code ""U66OFHPK"" drops it to <b>$5.18</b>. Plus, Prime members bag <b>free shipping</b>. That's $5 off list and the lowest price we could find. It features LED light and test indicators. Deal ends January 8.",,https://www.dealnews.com/Meterk-GFCI-Electric-Socket-Tester-for-5-free-shipping-w-Prime/2170283.html,$5
free shipping,,CLOTHING & ACCESSORIES,3,2170274,2018-01-02T12:14:52-05:00,Men's Wearhouse Winter Clearance Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dwhowwaqfehwag1jodsz","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092586,2170274"">Men's Wearhouse</a> takes <strong>up to 70% off</strong> a selection of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092526,2170274"">men's apparel</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092529,2170274"">Winter Clearance Sale</a>. Plus, Perfect Fit Rewards members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092532,2170274"">join</a>.) A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092589,2170274"">Joseph Abboud Men's Check Dress Shirt</a> for <strong>$69.99</strong> ($30 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170274"">Calvin Klein Men's Extreme Slim Fit Sport Coat</a> for <strong>$149.99</strong> (pictured, $250 off)
 </li>
</ul>",,https://www.dealnews.com/Mens-Wearhouse-Winter-Clearance-Sale-Up-to-70-off-free-shipping/2170274.html,Up to 70% off
free shipping w/ Prime,,TV ANTENNAS & RECEIVERS,3,2170289,2018-01-02T12:14:02-05:00,Reignet 50-Mile Range Amplified TV Antenna,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jqaagcb07badqv73ayjq","Reignet via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170289"">Reignet 50-Mile Range Amplified TV Antenna</a> for $21.99. Coupon code ""RIXCWNEE"" cuts that to <b>$15.83</b>. Plus, Prime members bag <strong>free shipping</strong>. That's $6 off and the lowest price we could find, although we saw it for $3 less a month ago. It includes two Velcro patches and a 16.5-foot coaxial cable. Deal ends January 10.",,https://www.dealnews.com/Reignet-50-Mile-Range-Amplified-TV-Antenna-for-16-free-shipping-w-Prime/2170289.html,$16
free shipping w/ Prime,,SURGE PROTECTORS,3,2170268,2018-01-02T12:12:45-05:00,Holsem 5-Outlet Surge Protector Power Strip,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/usbq8udmjwuxdiooxuku","Holsem via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170268"">Holsem 5-Outlet Surge Protector Power Strip</a> in Black or White for $18.95. Coupon code ""HHK6AECF"" drops it to <b>$10.49</b>. Plus, Prime members bag <b>free shipping</b>. That's $8 off list and the lowest price we could find. It features two USB charging outlets, surge protection up to 1,000 joules, and a 4-foot cord. Deal ends February 28.",,https://www.dealnews.com/Holsem-5-Outlet-Surge-Protector-Power-Strip-for-10-free-shipping-w-Prime/2170268.html,$10
free shipping w/ $50,,CLOTHING & ACCESSORIES,5,2170280,,Old Navy Epic Clearance Event,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gytsotk3hlwhrjqxkq7n","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170280"">Old Navy</a> takes <strong>up to 75% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092541,2170280"">clearance items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092544,2170280"">Epic Clearance Event</a>. Even better, an <strong>extra 20% off</strong> applies in-cart. Shipping adds <strong>$7</strong>, but orders of $50 or more receive free shipping. Some exclusions may apply. Deal ends January 3.",2018-01-03T03:33:59-05:00,https://www.dealnews.com/Old-Navy-Epic-Clearance-Event-Up-to-75-off-20-off-free-shipping-w-50/2170280.html,Up to 75% off + 20% off
free shipping w/ Prime,,FLASH MEMORY CARD READERS,2,2170271,2018-01-02T12:00:54-05:00,Weme USB 3.0 Multi-in-1 Card Reader,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ufzpx3qokoelkjvvwo58","Weme via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170271"">Weme SuperSpeed Aluminum USB 3.0 Multi-in-1 Card Reader with OTG Adapter</a> for $13.99. Coupon code ""EHDAIWR4"" cuts it to <strong>$10.99</strong>. With <strong>free shipping</strong>, that's tied with our September mention and the lowest price we could find by $5. It features data transfer rates up to 5GB/s and is compatible with SD, SDHC, SDXC, microSD, microSDHC, microSDXC, CF, TF, MD, and MMC cards. Deal ends January 15.",,https://www.dealnews.com/Weme-USB-3.0-Multi-in-1-Card-Reader-for-11-free-shipping-w-Prime/2170271.html,$11
,,CREDIT CARDS,,2168621,2018-01-01T00:01:00-05:00,Latest Credit Card Offers from Chase,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu","Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card.",,"https://www.dealnews.com/lw/click.html?20,2,2168621",
free shipping,,GROCERIES,3,2170250,2018-01-02T12:00:01-05:00,Mars Chocolate Favorites Fun Size Candy Bag,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iorq8aatfq21kqfjwwdh","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170250"">Mars Chocolate Favorites Fun Size Candy Bars Variety Mix 33.9-oz. Bag</a> for $7.13. Check out via Subscribe & Save to drop it to <b>$6.77</b>. With <b>free shipping</b>, that's about $4 less than you could expect to pay in local stores and the lowest price we could find, although we saw it for a buck less last January. It contains 60 pieces including Twix, M&Ms, and Snickers.<br>
<br>
Note: Be sure to cancel Subscribe & Save after your item ships to avoid being billed for future shipments.",,https://www.dealnews.com/Mars-Chocolate-Favorites-Fun-Size-Candy-Bag-for-7-free-shipping/2170250.html,$7
free shipping,True,TOYS & HOBBIES,3,2170265,,2 Parrot Jumping Night Mini Drones,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cfbcwgbzidexla4a6r7x","TechRabbit offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170265"">two Parrot Jumping Night Mini Drones</a> in several colors (White pictured) for <strong>$49.99</strong> with <strong>free shipping</strong>. (Add two to your cart to see the discount.) That's the lowest price we could find for this quantity by at least $50, with most vendors charging the $150 retail price for one drone alone. It jumps up to 2.5 feet in the air and features two LED lights, 20 minutes of usage time, and VGA mini camera. Deal ends January 8.",2018-01-02T15:07:46-05:00,https://www.dealnews.com/2-Parrot-Jumping-Night-Mini-Drones-for-50-free-shipping/2170265.html,$50
$4 pickup at JCP,True,PANTS,3,2170256,,Claiborne Men's Cotton Pants,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ogptuoakyieiqnbbgdyq","JCPenney offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170256"">Claiborne Men's Cotton Pants</a> in Asphalt Grey for $17.99. Coupon code ""4DEALS"" cuts that to <strong>$13.49</strong>. Choose <strong>$3.95</strong> in-store pickup to dodge the $8.95 shipping fee. That's $47 off list and the lowest price we could find. They come in select sizes from 30x30 to 40x30. Deal ends January 10.",2018-01-02T15:20:07-05:00,https://www.dealnews.com/Claiborne-Mens-Cotton-Pants-for-13-4-pickup-at-JCP/2170256.html,$13
free shipping,,CELL PHONE CHARGERS,2,2170226,2018-01-02T11:32:06-05:00,Alxum 48W 5-Port USB Charging Station,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z0ve3erqmglk7a3kkida","Weme via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170226"">Alxum 48-watt 5-Port USB Charging Station</a> in Black for $34.99. Coupon code ""7XPUSGR9"" cuts it to <strong>$29.99</strong>. With <strong>free shipping</strong>, that's $5 off and the lowest price we could find. It features BC 1.2 technology and provides up to 5-volts / 2.4-amps of power per port. Deal ends January 15.",,https://www.dealnews.com/Alxum-48-W-5-Port-USB-Charging-Station-for-30-free-shipping/2170226.html,$30
free shipping,,LAPTOPS,3,2170238,,"HP 15t Kaby Lake i7 2.7GHz 16"" Touch Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abrawjpbitvtsywewkeh","HP offers its 4.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170238"">HP 15t Intel Kaby Lake Core i7 2.7GHz 15.6"" Touchscreen Laptop</a> in Black for <strong>$549.99</strong> with <strong>free shipping</strong>. That's tied with our mention from September, $520 off list, and the lowest price we've seen. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LED-backlit touchscreen LCD, 8GB RAM, 1TB hard drive, 802.11n wireless, Gigabit Ethernet, USB 3.1, HDMI, 3-cell battery, and Windows 10 Home 64-bit.",2018-01-02T16:37:06-05:00,https://www.dealnews.com/HP-15-t-Kaby-Lake-i7-2.7-GHz-16-Touch-Laptop-for-550-free-shipping/2170238.html,$550
free shipping w/ Prime,,IPHONE CASES,3,2170175,,Anccer Thin iPhone X Case,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ppsak7f5zo4ihjphtdkf","Anccer via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170175"">Anccer Thin iPhone X Case</a> in several colors for $11.99. Coupon code ""HWLO6ING"" drops it to <b>$4.92</b>. With <b>free shipping</b> for Prime members, the lowest price we could find by $9, although we saw it for $1 less two weeks ago. It's compatible with wireless charging. Deal ends February 1.",2018-01-02T16:36:14-05:00,https://www.dealnews.com/Anccer-Thin-iPhone-X-Case-for-5-free-shipping-w-Prime/2170175.html,$5
,,VACATIONS,3,2170232,,Spain & Portugal Hotel & Tour Packages,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/annlkfxw8hhygbxd0qe7","Cosmos via ShermansTravel discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170232"">Spain and Portugal Hotel and Escorted Tour Packages</a>, with prices starting from <b>$869 per person</b>. Choose from a range of itineraries, with durations from six to 30 nights Book this travel deal by January 31.<br>
<br>
Note: International airfare is not included.",2018-01-02T16:31:21-05:00,https://www.dealnews.com/Spain-Portugal-Hotel-Tour-Packages-from-869-per-person/2170232.html,from $869 per person
$4 pickup at JCP,True,PANTS,4,2170229,,Claiborne Men's Microfiber Pants,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wpakx1fwj9subqpu3oi0","JCPenney offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170229"">Claiborne Men's Microfiber Pants</a> in Riverstone for $17.99. Coupon code ""4DEALS"" cuts that to <strong>$13.49</strong>. Choose <strong>$3.95</strong> in-store pickup to dodge the $8.95 shipping fee. That's $47 off list and the lowest price we could find. They come in limited sizes from 30x30 to 40x32. Deal ends January 10.",2018-01-02T15:23:53-05:00,https://www.dealnews.com/Claiborne-Mens-Microfiber-Pants-for-13-4-pickup-at-JCP/2170229.html,$13
free shipping,,TOYS & HOBBIES,3,2170208,,Drocon Hacker Drone with 720p Camera,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hv51yp1gyksu6kbhtybe","OXA USA COM via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170208"">Drocon Hacker Drone with 720p Camera</a> for $39.99. Coupon code ""AS8COH9N "" cuts it to <strong>$29.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $16, although we saw it for $10 less in October. It features headless mode, which keeps the orientation constant, and a 360-degree stunt function. Deal ends January 31.",2018-01-02T16:13:53-05:00,https://www.dealnews.com/Drocon-Hacker-Drone-with-720-p-Camera-for-30-free-shipping/2170208.html,$30
free shipping,,ANDROID PHONES,,2170448,2018-01-03T00:01:00-05:00,Pre-Owned Galaxy S8 4G LTE Phone for T-Mobile,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqjjgzlemihkbtmi470q","T-Mobile cuts <b>$90 off</b> its Certified Pre-Owned <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170448"">Samsung Galaxy S8 4G LTE Android Smartphones for T-Mobile</a>. Plus, <b>free shipping</b> applies. It features an octacore (2.3GHz Quad + 1.7GHz Quad) processor, 5.8"" 2960x1440 touchscreen Super AMOLED LCD, 4GB RAM, 64GB internal storage, dual 12-megapixel rear-facing cameras, 8-megapixel front-facing camera, 4K video recording at 30fps, 802.11ac wireless, Bluetooth 5.0, microSD card slot, water-resistance, and Android 7.0 (Nougat).",,https://www.dealnews.com/Pre-Owned-Galaxy-S8-4-G-LTE-Phone-for-T-Mobile-90-off-free-shipping/2170448.html,$90 off
