editors_choice,description,uuid,shipping,hotness,category,picture_url,time_published,price,title,url,time_modified
,"Firefly Buys via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170442"">Reduce WaterWeek 16-oz. Water Bottle 5-Pack with Fridge Tray</a> for <b>$9.99</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093252,2170442"">Amazon</a> has it for the same with free Prime shipping.) That's $10 off and the lowest price we could find. Bottles are leak-proof and dishwasher-safe.",2170442,free shipping,3,KITCHEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kornfstkr4cjlrua2znk",,$10,Reduce WaterWeek 16-oz. Water Bottle 5-Pack,https://www.dealnews.com/Reduce-Water-Week-16-oz.-Water-Bottle-5-Pack-for-10-free-shipping/2170442.html,2018-01-03T07:53:51-05:00
True,"Jet.com offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170466"">Razer Holiday Gaming Bundle</a> for <s>$89</s> <b>$86.07</b> with <strong>free shipping</strong>. That's $10 under our mention from last week and the lowest price we've seen. (It's also $38 under the best price we could find for all four items sold separately elsewhere.) It includes the Cynosa Pro Keyboard, DeathAdder Mouse, Kraken Headset, and Goliathus Mouse Pad.<br>
<br>
Note: You can also receive additional discounts during checkout by waiving free returns or by choosing select payment options.",2170466,free shipping,3,PERIPHERALS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/psjtw4dhalldu7nqplz7",,$86,Razer Holiday Gaming Bundle,https://www.dealnews.com/Razer-Holiday-Gaming-Bundle-for-86-free-shipping/2170466.html,2018-01-03T06:37:38-05:00
,"Newegg offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170460"">two Trendnet Day / Night 802.11n Wireless 2-Way Baby Cameras</a> for <strong>$29.99</strong> with <strong>free shipping</strong>. At $15 each, that beats our June mention (which saw these cameras for $18 each.), is a current best for this quantity by $30, and the lowest per-unit price we've seen. (Most retailers charge about this price or more for just <i>one</i> camera.) It features a microphone and speaker, 4x digital zoom, night vision up to 16 feet, sound and motion detection, remote viewing via its free mobile app, song-playing capability, and mounting hardware.",2170460,free shipping,3,BABIES & KIDS ITEMS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dzxefw01jf8w7svhmb0w",,$30,2 Trendnet Day/Night WiFi 2-Way Baby Cameras,https://www.dealnews.com/2-Trendnet-Day-Night-Wi-Fi-2-Way-Baby-Cameras-for-30-free-shipping/2170460.html,2018-01-03T07:52:42-05:00
,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167586"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086874,2167586"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086877,2167586"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2167586,,,CREDIT CARDS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",2017-12-28T12:11:32-05:00,"50,000 bonus points",Chase Sapphire Preferred® Card,"https://www.dealnews.com/lw/click.html?20,2,2167586",
,"With stock and price varying by ZIP code, for in-store pickup only, Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170472"">Kobalt Toy Circular Saw</a> for <strong>$10.99</strong>. That's $9 off list and the lowest price we could find. Designed for young children ages 3 and up, it features a simulated laser guide and removable battery pack. Two AA batteries are required and included.<br>
<br>
Note that this price is not available at all Lowe's locations.",2170472,pickup at Lowe's,2,TOYS & HOBBIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbmkmjhxh6kwz9oibugn",2018-01-02T17:05:16-05:00,$11,Kobalt Toy Circular Saw,https://www.dealnews.com/Kobalt-Toy-Circular-Saw-for-11-pickup-at-Lowes/2170472.html,
,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170451"">American Rag Men's Classic Fit Stretch Drawstring Jogger Shorts</a> in Green or Pink for <b>$10.56</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093279,2170451"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $24 off and the lowest price we could find. They're available in select sizes from S to XXL.",2170451,free s&h w/beauty item,3,SHORTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/etyiey91scsekknn3gvb",,$11,American Rag Men's Drawstring Jogger Shorts,https://www.dealnews.com/American-Rag-Mens-Drawstring-Jogger-Shorts-for-11-free-s-h-w-beauty-item/2170451.html,2018-01-03T07:52:26-05:00
,"Factory Direct Sale via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170445"">Goplus 46"" Bathroom Aluminum Shower Panel</a> for <strong>$79.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093267,2170445"">Costway</a> has it for about the same.) That's tied with our October mention and the lowest price we could find by $5, outside of other eBay sellers. It features a 1/2"" water supply hose, 10 massage jets, faucet, hand shower, mirror, and shelf.",2170445,free shipping,5,BED & BATH,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/euoixuxvijktoj6aazsc",,$80,"Goplus 46"" Bathroom Aluminum Shower Panel",https://www.dealnews.com/Goplus-46-Bathroom-Aluminum-Shower-Panel-for-80-free-shipping/2170445.html,2018-01-03T05:59:44-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170454"">Ozark Trail Folding Chair</a> in Green or Raspberry for <strong>$5.37</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $4 off and among the best prices we've seen for this chair. It folds for easy storage and features a steel frame, cup holder, and carrying bag.",2170454,pickup at Walmart,3,CAMPING & OUTDOORS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jzbgoqqxxtssoosgu3fs",,$5,Ozark Trail Folding Chair,https://www.dealnews.com/Ozark-Trail-Folding-Chair-for-5-pickup-at-Walmart/2170454.html,2018-01-03T07:51:40-05:00
,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170433"">Skechers Men's Boyar Molsen Oxford Casual Sneakers</a> in Navy for <strong>$26.24</strong>. Plus, pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093186,2170433"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's tied with last week's mention and the lowest price we could find by $21, excluding padding. They're available in sizes 10.5 to 13.",2170433,free s&h w/beauty item,4,SHOES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tmcgdxwltmugejfp2q9g",,$26,Skechers Men's Boyar Molsen Oxford Sneakers,https://www.dealnews.com/Skechers-Mens-Boyar-Molsen-Oxford-Sneakers-for-26-free-s-h-w-beauty-item/2170433.html,2018-01-03T03:55:11-05:00
,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170430"">Muscle Rack 5-Shelf 72"" Steel Shelving</a> in Silver for <b>$38.52</b> <del>with <s>free shipping</s></del>. That's the lowest price we could find by $9. It purports to hold up to 4,000 lbs. Deal ends January 31.<br>
<br>
<i>Update</i>: Choose in-store <strong>pickup</strong> to dodge the $18.49 shipping fee.",2170430,pickup at Home Depot,5,TOOL STORAGE & ORGANIZATION,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eamikeaasns6r7ww4dgh",,$39,"Muscle Rack 5-Shelf 72"" Steel Shelving",https://www.dealnews.com/Muscle-Rack-5-Shelf-72-Steel-Shelving-for-39-pickup-at-Home-Depot/2170430.html,2018-01-03T05:59:15-05:00
,"Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170436"">Cary Elwes' <i>As You Wish: Inconceivable Tales from the Making of The Princess Bride</i> eBook for Kindle</a> for <strong>$1.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093204,2170436"">Google Play</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093207,2170436"">Barnes &amp; Noble</a> charge the same.) That's $7 under the best deal we could find for a paperback version. Cary Elwes played Westley in The Princess Bride; this book contains behind-the-scenes photos, backstage stories, and a foreword by director Rob Reiner.",2170436,,3,EBOOKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i8cctu1shwp9cfb8u7zs",,$2,"""Tales from the Princess Bride"" eBook",https://www.dealnews.com/Tales-from-the-Princess-Bride-eBook-for-2/2170436.html,2018-01-03T07:50:37-05:00
True,"Dell Small Business offers its 4.4-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170421"">Dell Inspiron 15 7000 Series 7560 Intel Kaby Lake Core i5 2.5GHz 15.6"" 1080p Laptop</a> in Silver for $599.99. Coupon code ""INSP529"" drops that to <strong>$529.99</strong>. With <strong>free shipping</strong>, that's $280 off list and tied with our mention from a week ago as the best price we've seen for this computer. Deal ends January 3.<br>
<br>
It features an Intel Core i5-7200U 2.5GHz Kaby Lake dual-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit LCD, 4GB RAM, 500GB hard drive with 128GB SSD, 802.11ac wireless, Bluetooth 4.0, HDMI, USB 3.0, backlit keyboard, 3-cell battery, McAfee LiveSafe 12-month subscription, and Windows 10 Professional 64-bit.",2170421,free shipping,2,LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pprylawtlwjachstpji8",,$530,"Dell Inspiron Kaby Lake i5 Dual 16"" Laptop",https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i5-Dual-16-Laptop-for-530-free-shipping/2170421.html,2018-01-03T06:33:42-05:00
True,"Supply Shop via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170409"">Philips 100-watt Equivalent LED A19 Light Bulb 8-Pack</a> in Daylight for <strong>$30</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $12. Each features a 1,500-lumen output and up to 15,000 hours of use.",2170409,free shipping,4,LIGHT BULBS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pgmzyxsjzmdzylrmt2wl",,$30,8 Philips 100W Equivalent LED A19 Light Bulbs,https://www.dealnews.com/8-Philips-100-W-Equivalent-LED-A19-Light-Bulbs-for-30-free-shipping/2170409.html,2018-01-03T06:31:02-05:00
,"Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170427"">Monoprice Select Ergonomic Wireless Mouse</a> for <b>$8.99</b> with <b>free shipping</b>. It features a contoured design, optical tracking, and a wireless dongle. Deal ends January 4.",2170427,free shipping,,MICE/TRACKBALLS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fbyr1v4gwzevxiyl1ra8",2018-01-03T00:01:00-05:00,$9,Monoprice Select Ergonomic Wireless Mouse,https://www.dealnews.com/Monoprice-Select-Ergonomic-Wireless-Mouse-for-9-free-shipping/2170427.html,
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170418"">Eddie Bauer</a> takes <strong>up to 60% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093138,2170418"">sale items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093141,2170418"">Semi-Annual Sale</a>. (Prices are as marked.) Plus, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093144,2170418"">clearance items</a> receive an <strong>extra 40% off</strong> via coupon code ""ICEBOX"". Shipping adds <strong>$7.99</strong>, but orders of $49 or more receive free shipping. Some exclusions apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s487/Eddie-Bauer/"">Eddie Bauer Coupons</a>.</p>",2170418,free shipping w/ $49,4,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c4fssfmennpo8g3qghw7",,Up to 60% off,Eddie Bauer Semi-Annual Sale,https://www.dealnews.com/Eddie-Bauer-Semi-Annual-Sale-Up-to-60-off-free-shipping-w-49/2170418.html,2018-01-03T03:54:39-05:00
,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170211"">Under Armour Men's HeatGear Flyweight T-Shirt</a> in several colors (Black/Steel pictured) for $19.99. Coupon code ""DN1399"" cuts the price to <strong>$13.99</strong>. With <strong>free shipping</strong>, that's tied with our mention from two weeks ago and the lowest price we could find by $14. It's available in select sizes from S to XXL. Deal ends January 8.",2170211,free shipping,3,ACTIVEWEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dm3zq48ujwsy4s72z4aq",,$14,Under Armour Men's HeatGear Flyweight T-Shirt,https://www.dealnews.com/Under-Armour-Mens-Heat-Gear-Flyweight-T-Shirt-for-14-free-shipping/2170211.html,2018-01-03T07:49:55-05:00
,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170394"">Alfani Men's Eco Fresh Shirt</a> in several colors (Sergeant Blue pictured) for <b>$15.93</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093081,2170394"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $39 off list and the lowest price we could find. It's available in select sizes from S to 3XL.",2170394,free s&h w/beauty item,2,SHIRTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aiftyemhaxpq7wluwpiw",2018-01-02T15:49:09-05:00,$16,Alfani Men's Eco Fresh Shirt,https://www.dealnews.com/Alfani-Mens-Eco-Fresh-Shirt-for-16-free-s-h-w-beauty-item/2170394.html,
True,"Dell Small Business offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170406"">Dell Inspiron 15 7000 Series 7560 Intel Kaby Lake Core i7 2.7GHz 15.6"" 1080p Laptop</a> in Silver for $699.99. Coupon code ""649INSP"" cuts it to <strong>$649.99</strong>. With <strong>free shipping</strong>, that's tied with last week's mention as $310 off list and the lowest price we've seen. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit LCD, 8GB RAM, 256GB SSD, 3-cell battery, and Windows 10 Pro 64-bit. Deal ends January 3.",2170406,free shipping,3,LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xwmg5blcrgawp6vygzrs",,$650,"Dell Inspiron Kaby Lake i7 16"" 1080p Laptop",https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i7-16-1080-p-Laptop-for-650-free-shipping/2170406.html,2018-01-03T06:47:07-05:00
,"Equinox Int via Amazon offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170391"">Back Seat Baby Mirror</a> for $14.97. Coupon code ""66WCDTKL"" drops it to <b>$8.95</b>. With <b>free shipping</b> for Prime members, that's the lowest price we could find for a similar mirror by about a buck. It features shatter proof glass. Deal ends January 31.",2170391,free shipping w/ Prime,3,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kb44smact2yjucatqj8c",,$9,Back Seat Baby Mirror,https://www.dealnews.com/Back-Seat-Baby-Mirror-for-9-free-shipping-w-Prime/2170391.html,2018-01-03T07:48:50-05:00
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170400"">TechRabbit</a> cuts <strong>up to 75% off</strong> a selection of new and refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093102,2170400"">headphones, smartphone accessories, drones, and more</a>. Plus, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093105,2170400"">one item</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093108,2170400"">second of that same item</a> for <strong>free</strong>. Even better, all orders receive <strong>free shipping</strong>. That's a strong 2-for-1 offer from TechRabbit; we saw this promotion with a higher max base discount last month. Deal ends January 8.<br>
<br>
Note: Refurbished items are covered by a 90-day or 1-year TechRabbit warranty. Check individual product pages for warranty duration.",2170400,free shipping,5,ELECTRONICS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/df2bddkhqedruhdmhvkv",,Up to 75% off + BOGO free,TechRabbit Sale,https://www.dealnews.com/Tech-Rabbit-Sale-Up-to-75-off-BOGO-free-free-shipping/2170400.html,2018-01-03T05:58:37-05:00
,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170172"">Triple Strand Black Freshwater Pearl Necklace</a> for $299.99. Coupon code ""dealnews231"" cuts that to <strong>$68.99</strong>. With <strong>free shipping</strong>, that's $331 off and tied with last month's mention as the best price we could find. It measures 18"" long. Deal ends January 10.",2170172,free shipping,1,JEWELRY,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztditqasyp42rrzrwqjt",2018-01-02T15:31:59-05:00,$69,9.5mm AAA Lustrous Freshwater Pearl Necklace,https://www.dealnews.com/9.5-mm-AAA-Lustrous-Freshwater-Pearl-Necklace-for-69-free-shipping/2170172.html,
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170397"">Crawford Adjustable Overhead Storage System</a> for <strong>$30.68</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093090,2170397"">Amazon</a> charges the same.) That's tied with our mention from a month ago and the lowest price we could find by $5. It has a 200-lb. weight capacity, features an adjustable drop from 19"" to 29"", and expands from 32"" to 48"" wide.",2170397,pickup at Walmart,3,TOOL STORAGE & ORGANIZATION,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tegdhx8b5xifa6y4t5au",,$31,Crawford Adjustable Overhead Storage System,https://www.dealnews.com/Crawford-Adjustable-Overhead-Storage-System-for-31-pickup-at-Walmart/2170397.html,2018-01-03T07:47:45-05:00
,"Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170199"">Cool Water for Women by Davidoff 3.4-oz. Deodorant Spray</a> for <b>$12.65</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092265,2170199"">Amazon</a> has it for the same with free Prime shipping.) Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by $3. It features citrus, honeydew, and pineapple notes.",2170199,pickup at Walmart,3,FRAGRANCES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fv8ftgvfugmxibyk2wek",,$13,Cool Water for Women 3.4-oz. Deodorant Spray,https://www.dealnews.com/Cool-Water-for-Women-3.4-oz.-Deodorant-Spray-for-13-pickup-at-Walmart/2170199.html,2018-01-03T07:47:21-05:00
,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170364"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092991,2170364"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092994,2170364"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",2170364,,,SAM'S CLUB COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",2018-01-03T00:01:00-05:00,free w/ membership,$15 Sam's Club Gift Card,https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2170364.html,
,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093066,2170379"">Mysteria Bay Storage Bed</a> from <b>$399</b> with <b>free shipping</b>. (Non-members pay at least a $40 surcharge, so it's better to buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093018,2170379"">1-Year membership</a> for $45.) That's the lowest price we could find by at least $291. These beds feature storage space in the frame. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170379"">Twin</a> (pictured) from <b>$399</b> (low by $291)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093021,2170379"">Full</a> from <b>$449</b> (low by $316)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093024,2170379"">Queen</a> from <b>$499</b> (low by $204)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093027,2170379"">King</a> from <b>$579</b> (low by $535)
 </li>
</ul>",2170379,free shipping,3,HOME FURNITURE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/efrfcueiieazpvjovhe2",,from $399,Mysteria Bay Storage Bed,https://www.dealnews.com/Mysteria-Bay-Storage-Bed-from-399-free-shipping/2170379.html,2018-01-03T07:46:55-05:00
,"Equinox Int via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170385"">Royal Oil and Vinegar Bottle Set</a> for $16.99. Coupon code ""AVNV73H3"" knocks it to <strong>$9.97</strong>. With <strong>free shipping</strong> via Prime, that's the lowest price we could find by $10. It includes a stainless steel rack and removable corks. Each bottle holds up to 17 oz. Deal ends January 31.",2170385,free shipping w/ Prime,3,KITCHEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wfxa9p02uril3cqtukvg",,$10,Royal Oil and Vinegar Bottle Set,https://www.dealnews.com/Royal-Oil-and-Vinegar-Bottle-Set-for-10-free-shipping-w-Prime/2170385.html,2018-01-03T07:45:51-05:00
,"iOrange-E via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170349"">Veckle 14"" Nylon Laptop Backpack</a> in Black for $29.99. Coupon code ""FLZMU6QT"" drops it to <b>$19.99</b>. With <b>free shipping</b>, that's $10 off list and the lowest price we could find. It features adjustable, padded straps, exterior and interior pockets, is waterproof, and holds laptops up to 14"". Deal ends January 7.",2170349,free shipping,3,LAPTOP BAGS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sac2qvyqigbyoj6x7rdj",,$20,"Veckle 14"" Nylon Laptop Backpack",https://www.dealnews.com/Veckle-14-Nylon-Laptop-Backpack-for-20-free-shipping/2170349.html,2018-01-03T07:44:42-05:00
