title,url,picture_url,time_published,description,editors_choice,time_modified,uuid,category,shipping,hotness,price
Barclaycard Arrival Plus™ MasterCard®,"https://www.dealnews.com/lw/click.html?20,2,2168600","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ik8cghwccxp8nmacfv0i",2017-12-30T00:01:00-05:00,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168600"">Barclaycard Arrival Plus™ World MasterCard®</a> and earn <strong>40,000 Bonus Miles</strong> when you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089655,2168600"">$3,000 or more</a> on purchases in the first 90 days. (That equates to $400 off your next trip.) Plus, you <strong>earn 2 miles</strong> on all purchases and <strong>get 5% miles back</strong> every time you redeem for travel statement credits. Also, you'll get a <strong>0% introductory APR</strong> for 12 months on Balance Transfers made within 45 days of account opening. After that, a variable APR will apply, 16.99%, 20.99% or 23.99%, based on your creditworthiness. Please note, there is a fee for balance transfers. There's an $89 annual fee, <strong>waived for the first year</strong>, and <strong>no foreign transaction fees</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089658,2168600"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s39843/Barclay-Card/"">Barclaycard Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,2168600,CREDIT CARDS,,,"40,000 Bonus Miles"
"Bacati Pin Dots 42x84"" Curtain Panel",https://www.dealnews.com/Bacati-Pin-Dots-42-x84-Curtain-Panel-for-9-pickup-at-Walmart/2168663.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/flp5aqcllcpww56sc1f0",2017-12-30T04:13:24-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168663"">Bacati Pin Dots 42"" x 84"" Curtain Panel</a> in Yellow for <strong>$8.57</strong>. Choose in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $21. It features a 1"" header with a 3"" rod pocket.",,,2168663,DECOR,pickup at Walmart,3,$9
Gerber Mini Paraframe Fine Edge Folding Knife,https://www.dealnews.com/Gerber-Mini-Paraframe-Fine-Edge-Folding-Knife-for-8-pickup-at-Walmart/2168666.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wujgat8yliq29io2dsg4",2017-12-30T04:12:06-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168666"">Gerber Mini Paraframe Fine Edge Clip Folding Knife</a> for <strong>$7.97</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089715,2168666"">Amazon</a> charges the same with free shipping via Prime.) That's tied with our October mention and the lowest price we could find by $10. It features a 2.22"" blade, frame lock mechanism, and pocket clip.",,,2168666,KNIVES & MULTITOOLS,pickup at Walmart,3,$8
Tommy Hilfiger Men's Modern Performance Pants,https://www.dealnews.com/Tommy-Hilfiger-Mens-Modern-Performance-Pants-for-30-free-shipping/2168651.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x1tyurjdedrtdi1rlbjt",2017-12-30T04:03:31-05:00,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168651"">Tommy Hilfiger Men's Modern-Fit Solid Stretch Performance Pants</a> in Khaki for <strong>$29.99</strong> with <strong>free shipping</strong>. That's $70 off and the lowest price we could find. They're available in sizes 32x30 to 40x30. Deal ends December 30.",,,2168651,PANTS,free shipping,3,$30
LeapFrog Learning Friends School Play Set,https://www.dealnews.com/Leap-Frog-Learning-Friends-School-Play-Set-for-10-pickup-at-Walmart/2168648.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ojtrq9y0ssdgd6i8tpno",2017-12-30T03:55:54-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168648"">LeapFrog Learning Friends Play and Discover School Play Set</a> for <strong>$9.97</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $5 off and the lowest price we could find. It features five different school activities, three interactive learning friends, more than 70 stories, songs, and phrases, and moveable snack time table. Three AA batteries are required but not included.",,,2168648,TOYS & HOBBIES,pickup at Walmart,2,$10
Lincoln Logs Frosty Falls Ranch,https://www.dealnews.com/Lincoln-Logs-Frosty-Falls-Ranch-for-23-pickup-at-Walmart/2168645.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mtqo1czjeajvnfv32x82",2017-12-30T03:52:23-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168645"">Lincoln Logs Frosty Falls Ranch</a> for <strong>$22.97</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $12. It includes a cowboy figure, horse, and 120 pieces.",,,2168645,TOYS & HOBBIES,pickup at Walmart,2,$23
Tomodachi 12pc Titanium-Coated Cutlery Set,https://www.dealnews.com/Tomodachi-12-pc-Titanium-Coated-Cutlery-Set-from-20-free-shipping/2168633.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m0bl0qc4t2miesqud5wj",,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168633"">Tomodachi 12-Piece Titanium-Coated Cutlery Set</a> in Copper or Black for <b>$19.98</b> with <b>free shipping</b>. (Non-members must pay a $2 surcharge.) That's the lowest price we could find by $8. The set includes a 8"" chef's knife, 8"" bread knife, 6"" utility knife, 5"" tomato knife, 4"" citrus knife, 3.5"" paring knife, and matching blade guards for each knife.",,2017-12-30T12:09:50-05:00,2168633,CUTLERY & FLATWARE,free shipping,4,from $20
Verizon Wear24 Bluetooth 4G LTE Smartwatch,https://www.dealnews.com/Verizon-Wear24-Bluetooth-4-G-LTE-Smartwatch-for-74-free-shipping/2168654.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bq2rfvka91gm4mfxpgey",,"Shophotdeals1 via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168654"">Verizon Wear24 42mm Bluetooth WiFi + 4G LTE Smartwatch</a> in Gold for <strong>$73.97</strong> with <strong>free shipping</strong>. That's $5 under our mention from two weeks ago and the lowest price we could find now by $26. It features a 35mm 480x480 AMOLED display, 768MB RAM, 4GB storage, Wi-Fi, Bluetooth, stainless steel case, silicone rubber band, and Android Wear 2.0 OS.",,2017-12-30T12:18:10-05:00,2168654,SMARTWATCHES,free shipping,4,$74
Ryobi 18V High Power Volume Inflator,https://www.dealnews.com/Ryobi-18-V-High-Power-Volume-Inflator-for-20-pickup-at-Home-Depot/2168546.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yz9cwwwcosrxzpurl7xa",,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168546"">Ryobi 18-volt High Power Volume Inflator</a> for <b>$19.97</b>. Choose in-store <b>pickup</b> to dodge the $5.99 shipping fee. That's tied with last month's mention and the lowest price we could find by $14. It can inflate a standard twin air mattress in 45 seconds.",,2017-12-30T15:14:29-05:00,2168546,POWER TOOLS,pickup at Home Depot,5,$20
Werner 5-Foot Fiberglass Ladder,https://www.dealnews.com/Werner-5-Foot-Fiberglass-Ladder-for-28-pickup-at-Lowes/2168624.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/shd9ohdlmec4icmhpn2e",2017-12-30T02:25:00-05:00,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168624"">Werner 5-Foot Fiberglass Ladder</a> in Camo for <strong>$27.60</strong>. Choose in-store <b>pickup</b> to avoid the $79 delivery fee. That's $45 under the best price we could find for a similar ladder elsewhere, although we saw it for $4 less three weeks ago. It features a 225-lb. capacity and slip-resistant steps.",,,2168624,TOOLS & HARDWARE,pickup at Lowe's,3,$28
4 Months of DirecTV Now w/ Apple TV 4K 32GB,https://www.dealnews.com/4-Months-of-Direc-TV-Now-w-Apple-TV-4-K-32-GB-for-140-free-shipping/2168561.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e0ocpnku7nfbwmiqbqfc",2017-12-30T00:01:00-05:00,"At DirecTV Now, prepay for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089601,2168561"">four months of DirecTV Now service</a> for <b>$140</b> ($35/month) and receive the recently-released <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168561"">Apple TV 4K 32GB Media Receiver</a> for <b>free</b> via the steps below. It features Apple's A10X Fusion chip, which is 2x faster and provides 4x GPU performance over the previous generation Apple TV. It also supports 4K HDR content via HDR 10 and Dolby Vision. This deal includes the ""Live a Little"" package from DirecTV Now, which offers over 60 channels to stream live, with many shows available on demand. After four months, you'll be billed $35/month for the service, but you may cancel at any time. To get this deal:
<ol>
 <li>On <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089604,2168561"">this page</a>, click ""Redeem &amp; Stream""
 </li>
 <li>create your account
 </li>
 <li>select the ""Live a Little"" tab and click ""Continue with this plan""
 </li>
 <li>on the add-ons page, click ""Skip for now""
 </li>
 <li>choose the Apple TV 4K and click ""Add to plan"", then click ""Continue""
 </li>
 <li>you'll see a final price of <b>$140</b> on the checkout page
 </li>
</ol>
Note: You must use Chrome or Safari as your browser to get this deal.",,,2168561,"MOVIES, TV SHOWS & VIDEOS",free shipping,,$140
Nike Men's SB Trainerendor Shoes,https://www.dealnews.com/Nike-Mens-SB-Trainerendor-Shoes-for-41-free-shipping/2168528.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lfedjdpiy7nusyqujir3",,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168528"">Nike Men's SB Trainerendor Shoes</a> in Black/White for $54.97. In-cart, that drops to <strong>$41.23</strong>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089541,2168528"">join</a>.) That's the lowest price we could find by $29, although we saw them for a buck less last month. They're available in select sizes from 8 to 11. Deal ends January 4.",,2017-12-30T12:07:14-05:00,2168528,SHOES,free shipping,4,$41
Refurb New Nintendo 3DS XL Console,https://www.dealnews.com/Refurb-New-Nintendo-3-DS-XL-Console-for-160-free-shipping/2168681.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qnamfe1ldhqnxesaxjwm",,"Nintendo via eBay offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168681"">New Nintendo 3DS XL Game Console</a> in Black for <strong>$160</strong> with <strong>free shipping</strong>. That's $30 under the lowest price we could find for a new unit, although we saw a refurb with a $15 gift card for $160 three weeks ago. It features Amiibo support and is compatible with all Nintendo DS games.<br>
<br>
Note: A 1-year Nintendo warranty applies.",,2017-12-30T15:07:55-05:00,2168681,CONSOLES,free shipping,2,$160
KitchenAid 1.7-Liter Electric Kettle,https://www.dealnews.com/Kitchen-Aid-1.7-Liter-Electric-Kettle-for-65-free-shipping/2168744.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zogzwty693l3mhhy8zpt",2017-12-30T00:48:53-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168744"">KitchenAid 1.7-Liter Electric Kettle with LED Display</a> in Brushed Stainless Steel for <strong>$64.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089754,2168744"">Amazon</a> charges the same.) That's the lowest price we could find by $20. It features a clear water window with blue LED and 30-minute hold temperature function that maintains the temperature while on the base.",,,2168744,KITCHEN,free shipping,3,$65
Accent Furniture at Macy's,https://www.dealnews.com/Accent-Furniture-at-Macys-Up-to-70-off/2168738.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rrb7htbhqbbvdq5ojz6z",,"Macy's cuts <strong>up to 70% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089751,2168738"">accent furniture</a> with prices starting at $66.20. Shipping starts around <strong>$10.95</strong> and surcharges may apply. Discounted items include chairs, side tables, chaise lounges, and loveseats. A couple best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089748,2168738"">Ander Accent Chair</a> for <strong>$89</strong> + <strong>$11</strong> s&amp;h ($50 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168738"">Coryn Fabric Accent Chair</a> for <strong>$159</strong> + <strong>$26</strong> s&amp;h (pictured, $166 off)
 </li>
</ul>",,2017-12-30T15:14:17-05:00,2168738,HOME FURNITURE,,5,Up to 70% off
OXO Good Grips Spring-Loaded Poultry Shears,https://www.dealnews.com/OXO-Good-Grips-Spring-Loaded-Poultry-Shears-for-20-free-shipping-w-Prime/2168735.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ajjg9eu4j10em0rpprme",2017-12-29T23:17:27-05:00,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168735"">OXO Good Grips Spring-Loaded Poultry Shears</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. They feature stainless-steel blades that separate for cleaning.",,,2168735,KITCHEN,free shipping w/ Prime,3,$20
Pokémon Clip 'N' Carry Poké Ball Belt,https://www.dealnews.com/Pok-mon-Clip-N-Carry-Pok-Ball-Belt-for-8-free-shipping-w-Prime/2168720.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pxpboivmmbzjwvxll8jg",,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168720"">Pokémon Clip 'N' Carry Poké Ball Belt</a> for <s>$8.69</s> <strong>$8.37</strong> with <strong>free shipping</strong>. That's about 50 cents under our mention from ten days ago and the lowest price we could find now by $16. It includes one adjustable belt, one Pikachu figure, one Poké ball, and one net ball.",,2017-12-30T15:59:36-05:00,2168720,TOYS & HOBBIES,free shipping w/ Prime,3,$8
Tools of the Trade 1.5qt Stainless Tea Kettle,https://www.dealnews.com/Tools-of-the-Trade-1.5-qt-Stainless-Tea-Kettle-for-5-pickup-at-Macys/2168639.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zhthkguz64pyvnfvl3ob",,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168639"">Tools of the Trade 1.5-Quart Stainless Steel Tea Kettle</a> for <strong>$4.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089706,2168639"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $20 off list and the lowest price we've seen. It whistles when water is boiling and features an easy-grip handle. Deal ends December 30.",,2017-12-30T12:04:45-05:00,2168639,KITCHEN,pickup at Macy's,4,$5
Upcoming: Block Calendar Kids' Workshop,https://www.dealnews.com/Upcoming-Block-Calendar-Kids-Workshop-for-free-at-Home-Depot-stores/2168660.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbciodz9xzktz6vgxjtp",,"On January 6 from 9 am to 12 pm local time, participating Home Depot retail stores will offer a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168660"">Block Calendar Kids' Workshop</a> for <strong>free</strong>. (Select a store to register.) Kids will get to build a block calendar and also receive an apron and pin.",,2017-12-30T15:43:01-05:00,2168660,THINGS TO DO,at Home Depot stores,4,free
Nike Women's Celso Ultra Thong Flip Flops,https://www.dealnews.com/Nike-Womens-Celso-Ultra-Thong-Flip-Flops-for-11-free-shipping/2168525.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qidrrx8w39jcan8dxat3",,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168525"">Nike Women's Celso Ultra Thong Flip Flops</a> in Platinum/White for $14.97. In cart, that drops to <strong>$11.23</strong>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089535,2168525"">join</a>.) That's the lowest price we could find by $10, although we saw them for a buck less the week of Black Friday. They're available in sizes 6 to 12.",,2017-12-30T15:57:54-05:00,2168525,SHOES,free shipping,3,$11
"Pogo Pass to Las Vegas, Dallas, Austin, more",https://www.dealnews.com/Pogo-Pass-to-Las-Vegas-Dallas-Austin-more-60-off-from-40/2168519.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kbb4mkkya2esnxelebmi",2017-12-29T16:01:57-05:00,"DestinationCoupons continues to take <b>60% off</b> a selection of Pogo Passes for select cities via coupon code ""DEST"", as listed below. (Click ""Buy Now"" next to your desired location; the coupon may apply automatically.) It offers discounts on local attractions, amusement parks, sporting events, zoos, and more. Each Pogo Pass is good for one year and is non-transferable. This travel deal ends December 31. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168519"">Las Vegas Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089508,2168519"">Austin Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089511,2168519"">Dallas Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089514,2168519"">San Antonio Pogo Pass</a> for <b>$39.98</b> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089517,2168519"">Phoenix and Tucson Pogo Pass</a> for <b>$49.98</b> ($60 off)
 </li>
</ul>",,,2168519,THINGS TO DO,,,"60% off, from $40"
Fizzics Waytap Beer Dispenser,https://www.dealnews.com/Fizzics-Waytap-Beer-Dispenser-for-85-free-shipping/2168531.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mku1dbgeqcchgn7ec1zz",,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168531"">Fizzics Waytap Draft Beer System</a> in Black for <strong>$84.99</strong> with <strong>free shipping</strong>. That's $1 under our March mention and the lowest price we could find by $15. It's compatible with 12-oz. to 25-oz. cans and 12-oz. bottles and requires four AA batteries (not included.)",,2017-12-30T12:03:56-05:00,2168531,SMALL APPLIANCES,free shipping,4,$85
Nike Men's Lebron XIV Low Basketball Shoes,https://www.dealnews.com/Nike-Mens-Lebron-XIV-Low-Basketball-Shoes-for-67-free-shipping/2168678.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwbovsbsusejhuwylxj7",,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168678"">Nike Men's Lebron XIV Low Basketball Shoes</a> in Stucco or Black for $89.97. In cart, that drops to <strong>$67.48</strong>. Plus, Nike+ members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089730,2168678"">join</a>.) That's the lowest price we could find by $7, although most stores charge at least $90 (if not closer to list price). They're available in select sizes from 7 to 18.",,2017-12-30T12:03:36-05:00,2168678,SHOES,free shipping,4,$67
"GreCute 18"" x 30"" Doormat",https://www.dealnews.com/Gre-Cute-18-x-30-Doormat-for-5-free-shipping-w-Prime/2168495.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6ikdhmmzqc6e0cty5ci",,"Nomi Park via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168495"">GreCute 18"" x 30"" Doormat</a> in Black for <strong>$5.09</strong>. Plus, Prime members get <strong>free shipping</strong>. That's $3 under our October mention, $5 off, and the lowest price we could find. It features vinyl backing.",,2017-12-30T15:07:32-05:00,2168495,DECOR,free shipping w/ Prime,2,$5
Nike Men's Jordan Ultra.Fly 2 Shoes,https://www.dealnews.com/Nike-Mens-Jordan-Ultra.Fly-2-Shoes-for-60-free-shipping/2168672.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m0llhlqluwluva1faedx",,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089907,2168672"">Nike Men's Jordan Ultra.Fly 2 Basketball Shoes</a> in several colors (Black/Anthracite pictured) for $79.97. In cart, that drops to <s>$59.98</s>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168672"">Villa</a> charges the same in Black/Red.) Plus, Nike+ members receive <s>free shipping</s>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089724,2168672"">join</a>.) That's the lowest price we could find by $7. They're available in select sizes from 9 to 13.<br>
<br>
<i>Update</i>: It's now out of stock at Nike; however, Villa still offers them for <strong>$59.98</strong> with <strong>free shipping</strong>.",,2017-12-30T12:02:02-05:00,2168672,SHOES,free shipping,4,$60
Rubbermaid TakeAlongs 40pc Food Storage Set,https://www.dealnews.com/Rubbermaid-Take-Alongs-40-pc-Food-Storage-Set-for-9-pickup-at-Target/2168486.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mrvv4uoewebgcsby5lm0",,"Target offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168486"">Rubbermaid TakeAlongs 40-Piece Food Storage Container Set</a> for <strong>$8.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089463,2168486"">Amazon</a> has it for the same with a $25 order.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's a buck under our July mention and the best price we could find by $3. It includes four mini square containers, two mini round containers, four square containers, four bowl containers, two large bowls, and four square containers.",,2017-12-30T15:56:40-05:00,2168486,KITCHEN,pickup at Target,3,$9
Society Den Emery Upholstered Platform Bed,https://www.dealnews.com/Society-Den-Emery-Upholstered-Platform-Bed-from-163-free-shipping/2168636.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/czeaipyeyabugq3ofkeu",,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168636"">Society Den Emery Upholstered Twin Platform Bed</a> in several colors (Teal pictured) for <strong>$162.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $16.29.) That's the lowest price we could find by $23. It features a chrome silver nailhead trim.<br>
<br>
It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089703,2168636"">Full</a> for <strong>$199.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $19.99.) That's the lowest price we could find by $10.",,2017-12-30T15:55:06-05:00,2168636,BED & BATH,free shipping,3,from $163
